15	30	53	37	49
10	43	80	14	54
26	47	15	23	17
88	18	72	57	63
78	72	67	25	71
84	24	58	63	100
65	82	18	14	21
22	34	51	61	30
43	54	92	34	56
16	55	45	42	92
58	51	64	36	90
57	42	96	93	93
48	45	59	61	60
96	37	91	41	81
35	57	53	22	16
28	34	44	28	74
100	66	53	58	91
59	56	33	17	92
64	17	79	54	46
22	74	10	25	39
67	28	31	41	93
80	87	37	48	81
96	85	69	13	10
57	34	53	23	86
50	89	82	41	69
26	14	31	82	78
61	42	55	13	83
42	15	20	29	22
48	27	96	18	37
29	97	64	30	43
77	35	75	27	51
94	75	59	91	80
33	59	59	73	34
94	59	98	77	81
82	15	85	42	61
84	69	15	98	76
51	18	90	36	29
49	85	92	71	37
33	100	36	69	65
64	50	45	99	32
33	89	77	12	55
83	94	57	85	15
97	87	71	44	58
15	42	91	29	64
14	78	59	66	44
77	90	34	73	73
67	94	27	18	74
11	77	48	78	83
91	22	21	80	80
98	72	89	77	55
81	96	36	89	56
11	97	45	76	65
46	40	54	65	25
47	52	85	21	56
46	71	44	24	42
92	65	20	37	25
60	30	50	20	90
100	13	18	78	26
36	86	96	52	47
19	31	37	43	18
11	54	64	70	19
91	64	24	86	76
84	70	19	99	84
92	33	56	83	92
81	31	96	36	10
93	32	12	94	46
41	90	90	10	97
25	64	59	39	52
30	74	13	78	40
12	32	41	71	19
92	52	64	64	12
85	83	71	19	68
23	79	54	81	53
61	97	35	85	52
22	56	33	31	55
19	36	11	81	100
32	24	54	74	27
16	90	82	27	30
71	59	67	45	95
19	27	32	49	37
41	46	87	44	98
79	86	89	25	33
27	70	13	87	13
89	74	62	89	88
91	93	15	10	99
35	17	22	91	67
78	55	20	19	76
55	13	91	89	74
48	16	48	55	79
100	37	48	84	53
31	72	92	38	11
19	38	57	82	98
100	58	12	75	13
14	67	84	48	90
87	18	73	50	71
40	19	18	27	81
40	98	48	47	26
46	26	93	98	64
29	63	88	84	91
18	95	88	58	61
19	17	80	43	60
67	13	61	28	20
26	58	69	12	15
22	64	38	92	46
61	18	89	21	11
82	97	23	44	31
59	59	92	87	18
41	98	73	58	65
33	31	97	79	59
85	19	50	85	59
49	53	17	10	61
33	50	22	86	84
22	36	59	16	50
75	63	75	69	61
89	28	85	13	64
49	31	37	28	79
62	65	70	39	47
64	71	24	76	33
68	67	48	94	12
64	20	58	42	57
46	84	38	81	83
67	76	13	27	84
31	37	12	18	17
47	79	74	93	26
52	79	55	47	24
45	68	66	43	59
98	100	15	66	34
25	12	47	100	62
99	46	32	23	91
50	36	57	47	93
11	30	13	39	90
98	29	45	38	63
68	15	94	86	54
20	39	53	60	20
62	52	97	18	30
98	32	42	96	53
86	12	73	23	86
83	40	83	25	63
83	24	17	28	84
60	49	30	22	86
64	87	68	40	43
11	89	91	84	72
50	67	19	95	100
96	35	37	100	51
75	40	34	51	27
72	54	83	85	90
10	29	94	75	77
49	34	34	85	56
68	56	17	63	41
43	72	69	70	36
48	73	93	39	40
87	91	16	25	84
95	80	56	19	18
80	11	100	12	84
30	56	59	70	90
67	18	31	55	52
92	16	55	56	15
23	39	43	37	41
65	59	46	23	37
72	36	54	72	42
94	43	15	89	35
76	48	23	72	36
61	12	27	42	95
87	38	80	39	88
79	90	40	75	28
38	68	99	88	34
60	45	88	97	56
99	22	58	44	13
43	80	63	11	62
54	78	34	33	44
16	11	35	10	24
38	54	24	22	96
80	39	56	91	86
67	100	52	32	64
89	46	39	97	42
100	99	19	11	57
23	29	77	41	97
27	88	78	10	69
25	76	12	92	48
85	45	93	24	79
25	94	70	20	41
39	84	50	58	53
38	91	70	47	67
42	99	23	79	67
19	34	45	43	47
86	71	60	94	92
79	59	81	62	62
67	61	40	12	32
71	95	27	71	95
22	32	81	23	46
36	96	87	95	94
40	27	18	16	68
89	13	18	23	100
26	41	23	86	21
75	75	94	70	95
95	78	85	21	59
99	84	23	64	58
89	21	28	93	16
47	24	62	88	15
99	40	78	69	99
21	12	39	36	26
30	29	19	81	43
37	34	40	47	100
36	43	31	26	31
57	22	54	52	63
82	84	18	84	63
94	53	12	57	35
87	54	57	42	48
63	49	81	45	75
63	27	11	58	10
23	56	92	29	100
15	22	37	26	79
54	70	80	88	97
41	53	91	86	69
29	65	76	19	90
52	51	69	63	100
18	34	36	35	79
31	25	12	30	13
70	20	15	28	97
50	13	80	70	17
