533	371	545	328
366	563	587	220
354	59	477	182
555	77	271	164
349	405	309	402
157	391	490	544
553	71	227	28
225	143	587	367
127	239	89	289
74	357	104	69
581	369	106	293
426	462	177	176
562	369	78	383
563	56	307	570
556	355	41	314
534	349	284	93
590	276	239	165
161	31	323	29
21	49	148	151
597	61	524	296
56	389	273	288
97	523	277	341
161	587	63	265
52	477	213	458
240	446	367	480
423	270	517	26
128	267	183	449
558	587	176	109
47	98	469	195
553	461	425	60
247	459	405	240
535	29	154	334
290	497	513	533
126	305	57	441
525	431	55	41
404	258	76	125
29	164	408	156
407	53	446	100
68	177	111	377
532	96	487	435
20	79	358	95
225	473	302	590
418	366	131	102
562	468	314	248
417	97	558	153
28	387	496	200
62	364	128	302
155	118	501	408
553	265	230	54
393	493	262	382
340	391	38	434
563	316	67	336
539	111	391	592
310	510	77	126
137	45	274	369
483	149	359	409
248	172	92	132
404	362	401	458
287	482	316	209
89	560	339	147
407	465	493	221
77	348	238	87
138	486	390	556
335	342	53	70
322	242	139	88
230	343	420	434
71	120	194	559
120	411	362	539
559	108	558	468
596	335	489	127
527	368	331	174
221	379	178	348
286	293	66	344
299	215	531	207
175	173	527	90
489	266	272	540
316	419	213	565
187	61	346	481
248	340	258	598
188	535	403	96
518	116	145	306
346	458	198	293
94	432	36	254
206	81	323	290
176	207	476	503
304	150	106	118
536	271	199	585
456	40	96	361
450	223	87	564
458	420	346	381
520	447	68	281
53	111	489	547
62	303	365	434
52	433	79	310
26	427	560	568
210	58	397	572
127	438	133	303
99	324	460	333
489	434	325	247
559	44	600	411
155	338	314	46
530	399	110	60
335	89	596	591
416	408	134	490
124	369	21	182
99	374	35	65
237	336	420	563
187	225	594	591
311	172	251	68
89	58	21	277
458	116	225	494
192	551	309	39
334	292	75	584
400	505	576	213
272	25	324	448
585	287	577	245
137	560	427	233
238	182	544	136
84	115	86	469
539	472	57	305
471	194	209	293
580	91	323	185
144	594	87	108
588	260	191	204
424	493	44	417
180	69	444	30
116	351	147	78
348	65	374	495
443	482	249	253
60	81	571	371
413	210	340	406
149	270	355	71
342	567	390	26
108	128	391	105
